Candidate,Party,Votes
PRABHASH KUMAR,Bharatiya Janata Party,72044
OMENDRA KUMAR VERMA,Indian National Congress,51819
VIRENDRA KUMAR,Bahujan Samaj Party,50725
URMILA DEVI,Independent,1456
SANTOSH,Independent,1227
SANTOSH VERMA,Communist Party of India  (Marxist),1139
MEENA DEVI,Independent,1111
PREM CHAND,Independent,905
ANAND KUMAR,Independent,737
VIRENDRA KUMAR,Bharatiya Subhash Sena,556
VIJAY BAHADUR,Bahujan Mukti Party,474
UPENDRA KUMAR,Independent,462
KRISHNA KUMAR,Bhartiya Krishak Dal,426
RAM LAKHAN GAUTAM,Rashtriya Shahri Vikas Party,409
None of the Above,None of the Above,2222
