Candidate,Party,Votes
RAJ KUMAR AGRAWAL URF RAJIA,Bharatiya Janata Party,90362
ABDUL MANNAN,Samajwadi Party,69959
PAWAN KUMAR SINGH,Bahujan Samaj Party,29223
YOGENDRA SINGH,Communist Party of India,1387
DINESH,Rashtriya Janadhar  Party,1051
SHAREEF,Independent,950
GANGA RAM,Rashtriya Lok Dal,812
VIMAL KUMAR PANDEY,Independent,732
RAM RATAN LAL VERMA,Independent,609
SHUBHAM,Independent,528
JAGANNATH,Independent,514
PANKAJ PANDEY,Bhartiya Krishak Dal,356
RAMESH,Bharatiya Subhash Sena,337
MUJAMMIL,Independent,297
None of the Above,None of the Above,1532
