Candidate,Party,Votes
DHIRENDRA BAHADUR SINGH,Bharatiya Janata Party,65873
THAKUR PRASAD YADAV,Bahujan Samaj Party,52866
ASHOK KUMAR SINGH,Indian National Congress,42232
DEVENDRA PRATAP SINGH,Samajwadi Party,32792
HORI LAL,Independent,2036
ASHOK KUMAR,Independent,1154
RATNA PANDEY,Rashtriya Lok Dal,1139
RAM BAHADUR,Jan Adhikar Party,1048
KAMLESH KUMAR,Bahujan Mukti Party,954
SHASHI LATA,Manavtawadi Samaj Party,835
RAM NARAYAN,Sabka Dal United,733
PUSHPANT KUMAR,Rashtriya Jan  Adhikar Party,651
None of the Above,None of the Above,2545
