Candidate,Party,Votes
SWATI SINGH,Bharatiya Janata Party,108506
ANURAG ALIAS ANURAG YADAV,Samajwadi Party,74327
SHIV SHANKAR SINGH ALIAS SHANKARI SINGH,Bahujan Samaj Party,71791
RUDRA DAMAN SINGH,Independent,20607
SHARDA PRATAP SHUKLA,Rashtriya Lok Dal,4489
KAMLESH KUMAR,Rashtriya Shoshit Samaj Party,3378
RAM DULAR SINGH,Independent,1221
PRAMOD KUMAR,Independent,970
SANJAY,Independent,936
BRIJMOHAN SINGH,Independent,627
SUNITA,Bhartiya Shakti Chetna Party,584
LALAN SINGH,Bharat Kranti Rakshak Party,522
JIMIDAR,Independent,363
SUSHIL KUMAR SINGH,Rashtravyapi Janta Party,306
SHAILENDRA SINGH,Ojaswi Party,294
None of the Above,None of the Above,1926
