Candidate,Party,Votes
"NEEL RATAN SINGH PATEL ""NEELU""",Apna Dal (Soneylal),103423
SURENDRA SINGH PATEL,Samajwadi Party,54241
MAHENDRA KUMAR PANDEY,Bahujan Samaj Party,35657
VIBHUTI NARAYAN SINGH,Independent,2789
YUSUF,Ittehad-E-Millait Council,1550
MANOJ KUMAR CHAUBEY,Independent,1200
SHYAMLAL MAURYA,Communist Party of India  (Marxist),1149
"AKHILESH KUMAR SINGH ""MUNNA""",Lok Dal,967
NAGESHWAR,Bharatiya Samaj Dal,862
JAY PRAKASH,Rashtriya Samaj Paksha,613
TEJ BAHADUR SINGH PATEL,Independent,609
SURLIDHAR,Independent,509
DILIP KUMAR RAJBHAR,Republican Party of India (A),496
VIJAY PRATAP BHARATI,Bahujan Mukti Party,457
ASHUTOSH KUMAR,Independent,359
None of the Above,None of the Above,1626
