Candidate,Party,Votes
GYAN TIWARI,Bharatiya Janata Party,94697
ENGINEER MOHAMMAD NASIM,Bahujan Samaj Party,51038
SHIV KUMAR GUPTA,Samajwadi Party,43488
RAMPAL YADAV,Lok Dal,13130
AMARJEET SINGH,Rashtriya Vikalp Party,2470
UDAI BHANU SINGH,Independent,1779
KAMAL AHEMAD,Sabka Dal United,1106
NUR MOAHMMAD,Independent,981
SHANTI DEVI NISHAD,Jai Hind Samaj Party,972
DR. SHUCHITA,Socialist Party (India),846
ANUPAM MISHRA,Swarajya Party Of India,589
None of the Above,None of the Above,2990
