Candidate,Party,Votes
RAJANI TIWARI,Bharatiya Janata Party,99624
ASIF KHAN,Bahujan Samaj Party,95364
SARTAJ KHAN,Samajwadi Party,15767
SHOBHIT PATHAK,Rashtriya Lok Dal,1477
SAURABH KUMAR,Independent,1469
ASHUTOSH,Independent,704
FURQAN KHAN,Independent,581
DINESH KUMAR,Bharatiya Subhash Sena,448
PRADEEP,Rashtriya Shahri Vikas Party,361
SHAHWAZ HUSAIN KHAN,Manav Kranti Party,351
MAHENDRA,Jan Adhikar Manch,338
RAJKUMAR JINDAL,Bahujan Mukti Party,314
PRAMOD KUMAR,Lok Dal,297
RAJDEVI,Bahujan Maha Party,229
None of the Above,None of the Above,2615
