Candidate,Party,Votes
SHAILENDRA YADAV LALAI,Samajwadi Party,67818
RANA AJEET PRATAP SINGH,Suheldev Bhartiya Samaj Party,58656
OM PRAKASH(O.P. SINGH),Bahujan Samaj Party,51176
DR. SURYABHAN YADAV,Nirbal Indian Shoshit Hamara Aam Dal,21446
DINESH YADAV ALIAS DINESH KANT,Rashtriya Lok Dal,6462
PAVAN,Jan Adhikar Party,1178
LAL BAHADUR VERMA,Independent,887
SUDAMA DEVI YADAV,Independent,871
ANURAG PANDEY,Sampoorna Samaj Party,853
OM PRAKASH TIWARI,Independent,735
RAM SUMER BIND,Moulik Adhikar Party,717
RAMANAND NISHAD,Bahujan Mukti Party,600
SONU KHAN,All India Jan Congress Party,576
BAJRANG BALI DUBEY,Independent,461
RAHUL,Independent,334
None of the Above,None of the Above,1473
