Candidate,Party,Votes
SURESH KUMAR KHANNA,Bharatiya Janata Party,100734
TANVEER KHAN,Samajwadi Party,81531
MOHAMMAD ASLAM KHAN,Bahujan Samaj Party,16546
MANISH CHANDRA,Communist Party of India,1309
GAURAV,Rashtriya Lok Dal,991
ANIL KUMAR SINGH,Lok Dal,782
RAJEEV KUMAR SAXENA,Sarv Sambhaav Party,611
HEERA LAL SHUKLA,Independent,608
ROHIT DIXIT,Independent,523
SANJAY KUMAR,Independent,376
LOKESH SRIVASTAVA,Independent,310
KISHAN LAL,Independent,278
SARVESH KUMAR,Bharatiya Subhash Sena,275
None of the Above,None of the Above,1151
