Candidate,Party,Votes
TEJENDRA NIRWAL,Bharatiya Janata Party,70085
PANKAJ KUMAR MALIK,Indian National Congress,40365
BIJENDRA SINGH,Rashtriya Lok Dal,33551
MANISH KUMAR,Independent,31824
MOHAMMAD ISLAM,Bahujan Samaj Party,17114
BILAL A,Peace Party,820
SANJEEV KUMAR,Independent,379
SANJEEV,Independent,294
MOHD. GUFRAN KAZMI,Independent,294
ARVIND KUMAR,Bahujan Mukti Party,278
OMPAL,Bharat Janta Dal (Tughlaq),233
LOKENDRA KUMAR,Independent,209
None of the Above,None of the Above,901
