Candidate,Party,Votes
ANIL KUMAR,Bharatiya Janata Party,101912
MUKUL UPADHYAY,Bahujan Samaj Party,51667
UDAI KARAN SINGH DALAL,Indian National Congress,32914
MUKESH SHARMA,Rashtriya Lok Dal,7734
SHANTI SWROOP SHARMA,Independent,2908
LAKHAN SHARMA,Independent,1111
JAI PRAKASH SINGH,Rashtriya Kisan Majdoor Party,561
RAGHURAJ PRATAP SINGH,Independent,503
VARSHA DEVI,Sarv Sambhaav Party,361
JITENDRA SAINI,Jan Adhikar Party,343
VIJAY DEVI,Rashtriya Jan  Adhikar Party,247
MANOJ KUMAR,Independent,155
NISHANT KUMAR SHARMA,Independent,130
SONPAL SINGH,Rashtravadi Pratap Sena,124
None of the Above,None of the Above,2115
