Candidate,Party,Votes
ANIL RAJBHAR,Bharatiya Janata Party,110453
"ANAND MOHAN ""GUDDU YADAV""",Samajwadi Party,56194
VIRENDRA SINGH,Bahujan Samaj Party,46657
SAROJ CHAUDHARI,Nirbal Indian Shoshit Hamara Aam Dal,2929
SRIRAM,Moulik Adhikar Party,2379
RAMDULAR,Shoshit Samaj Dal,1113
ARVIND KUMAR PANDEY,Jan Adhikar Party,1060
SHIVA SONKAR,Rashtriya Krantikari Samajwadi Party,1001
NISHANT,Nationalist Congress Party,964
HAVALDAR YADAV,Rashtriya Lok Dal,724
"SANTOSH MURAT SINGH ""JINDA""",Independent,702
"INDRAJEET KUMAR SINGH ""PATEL""",Sarv Sambhaav Party,546
MINTU RAJBHAR,Bharatiya Samaj Dal,503
INDRAKANT SHARMA,Rashtriya Vikas Manch Party,414
DHANANJAY PANDEY (CHHEDI BABA),Shivsena,410
AJAY GUPTA,Republican Party of India (A),368
BUDDHU RAM,Gandhi Ekta Party,329
"KRISHNA KANT ""MASTER SAHAB""",Bahujan Mukti Party,328
None of the Above,None of the Above,812
