Candidate,Party,Votes
AMAR SINGH CHAUDHARY,Apna Dal (Soneylal),67653
MOHD. JAMEEL,Bahujan Samaj Party,45529
UGRASEN SINGH,Samajwadi Party,36907
CHAUDHARY RAVINDRA PRATAP ALIAS PAPPU CHAUDHARY,Rashtriya Lok Dal,8543
HAJI ALI AHMAD,All India Majlis-E-Ittehadul Muslimeen,4931
ANIL SINGH,Indian National Congress,4148
SUKHARAJ YADAV,Independent,4064
RADHARAMAN TRIPATHI,Peace Party,3207
AMIRULLAH,Independent,2204
SAMSUDDIN KHAN,Bahujan Maha Party,1780
DR. ASHEESH PRATAP SINGH,Independent,1728
VRIJ VASINI GIRI,Independent,1381
PRAMOD KUMAR MISHRA,Rastriya Aam Jan Seva Party,1135
DR. SATYENDRA NATH PANDEY,Aam Janata Party,1080
VIJAY LAXMI CHAUDHARY,Bharatiya Jan Berojgar Chhatra Dal,904
None of the Above,None of the Above,1525
