Candidate,Party,Votes
RAM FERAN,Bharatiya Janata Party,79437
MOHD. RAMZAN,Samajwadi Party,78992
SUBHASH,Bahujan Samaj Party,53014
ENG. VINOD KUMAR TRIPATHI,Rashtriya Lok Dal,10856
KALIM,All India Majlis-E-Ittehadul Muslimeen,2933
NEETU MISHRA,Independent,2352
MOHD YUSUS KHAN,Independent,2212
SIYA RAM,Independent,1756
MOLHU RAM,Independent,1514
RAJENDRA,Bharatiya Subhash Sena,1002
SUBHAS CHANDRE,Bhartiya Kisan Janshakti Party,979
SHARDINDU TRIVEDI,Bharatiya Democratic  Socialist Alliance  Party,859
KAUSHAL KUMAR YADAVA,Independent,790
VIRENDRA KUMAR MAURYA,Vikas Party,748
None of the Above,None of the Above,4289
