Candidate,Party,Votes
SANJAY YADAV,Bharatiya Janata Party,69536
ZIAUDDIN RIZWI,Samajwadi Party,45988
RAJNARAIN,Bahujan Samaj Party,34968
ARVIND RAI,Independent,2936
SATYENDRA YADAV,Jan Adhikar Party,2260
MUNNA CHAUHAN,Independent,2066
SRI RAM CHAUDHARY,Communist Party of India  (Marxist-Leninist)  (Liberation),1365
VINOD TIWARI,Independent,1295
BALWANT SINGH YADAV,Independent,1058
AJIT KUMAR PANDEY,Rashtriya Lok Dal,1038
MUSTAK,Bahujan Mukti Party,983
None of the Above,None of the Above,1122
