Candidate,Party,Votes
MATHURA PRASAD PAL,Bharatiya Janata Party,87879
MAHENDRA KATIYAR (BABLU),Bahujan Samaj Party,49776
SEEMA SACHAN,Samajwadi Party,42010
PRABHAKAR PANDEY,Nirbal Indian Shoshit Hamara Aam Dal,6381
MITHLESH KATIYAR,Jan Adhikar Party,1961
RAMBALI SINGH,Independent,1234
KRISHNA BABU,Independent,694
SANTOSH KUMAR KUSHAWAHA,Lok Dal,675
DR.OMKAR NATH KATIYAR,Al-Hind Party,500
SEEMA YADAV,Nirdhan Samaj Party of India,451
DINESH SINGH,Bharatiya Subhash Sena,389
MAMTA,Bahujan Mukti Party,361
None of the Above,None of the Above,1442
