Candidate,Party,Votes
SHEETLA PRASAD,Bharatiya Janata Party,78621
VACHASPATI,Samajwadi Party,52418
SAEEDURRAB,Bahujan Samaj Party,43782
ASHISH KUMAR MAURYA,Bahujan Mukti Party,4453
VISHWAJEET SINGH,Independent,2396
SHIV SINGH YADAV,Communist Party of India,2179
MITHLESH KUMAR,Independent,1641
GOPAL SINGH,Rashtriya Lok Dal,1580
SANGITA DEVI,Swatantra Jantaraj Party,1181
CHHEDDOO,Independent,1147
HARI LAL,Parivartan Samaj Party,1118
NAFEES AHMAD,Independent,887
SUSHIL KUMAR,Shivsena,788
LAAKHAN SINGH RAJPASI,Bharat Kranti Rakshak Party,787
SHASHI BHUSHAN,Lok Dal,702
JETVAN PRATAP,Bhartiya Krishak Dal,700
None of the Above,None of the Above,1806
