Candidate,Party,Votes
PREMSAGAR PATEL,Bharatiya Janata Party,122884
SHIVENDRA SINGH ALIAS SHIVBABU,Samajwadi Party,54698
RAGHVENDRA PRATAP ALIAS ANKIT SINGH,Bahujan Samaj Party,46185
RAKESH KUMAR ALIAS R. K. MISHRA,Independent,4073
YASH TRIPATHI,Peace Party,2659
MANORAMA,Independent,2301
SAHAJAD AHAMAD ALIAS SAHAJAD ALI,Independent,1314
HARISHCHANDRA JAISAWAL ALIAS HARISH BHAI,Communist Party of India  (Marxist-Leninist)  (Liberation),843
HARISHCHANDRA,Rashtriya Lok Dal,840
DIGVIJAY,Ambedkar Samaj Party,546
BHUNESHWAR ALIAS  BHUVANESHWAR KUMAR PATEL,Bahujan Mukti Party,522
None of the Above,None of the Above,2501
