Candidate,Party,Votes
RAKESH RATHORE,Bharatiya Janata Party,98850
RADHEY SHYAM JAISWAL,Samajwadi Party,74011
ASHFAQ KHAN,Bahujan Samaj Party,52181
RAKESH,Independent,1706
SATROHAN LAL,Rashtriya Lok Dal,1059
RUPENDRA KUMAR,Independent,834
PRADEEP MISHRA,Lok Dal,787
DINESH JAISWAL 'DINNU',Independent,655
NARAYAN URF RAMNARAYAN,Independent,461
ERAJ BEG,VANCHITSAMAJ INSAAF PARTY,407
SATYENDRA KUMAR,Bharatiya Subhash Sena,329
VISHWADEEP ANAND,Sabka Dal United,303
TILAK RAM LODHI,All India Pichhada Jan Samaj Party,261
AJAY KUMAR THAKUR,Independent,260
KONIKA,Uttar Pradesh Republican Party,252
None of the Above,None of the Above,1842
