Candidate,Party,Votes
JAMUNA PRASAD,Apna Dal (Soneylal),77814
GEETA DEVI,Bahujan Samaj Party,60079
SATYAVEER,Samajwadi Party,54345
SURENDRA KUMAR,Bharatiya Janata Party,6522
AJAY KUMAR,Independent,2907
KRISHAN KUMAR,Bhartiya Rashtriya Jansatta,1285
MANOJ,Rashtriya Samaj Paksha,1208
SUNIL KUMAR RAJPASI,Bharat Kranti Rakshak Party,1095
ASHOK KUMAR,Independent,976
PHOOL CHANDRA,Communist Party of India  (Marxist),932
JAVAHAR LAL DIVAKAR,Indian National Congress,847
SHYAM LAL,Bahujan Awam Party,771
MUNNA,Pragatisheel Samaj Party,738
LILAWATI,Yuva Vikas Party,700
None of the Above,None of the Above,2460
