Candidate,Party,Votes
SURYA BHAN SINGH,Bharatiya Janata Party,86786
MUJEEB AHMAD,Bahujan Samaj Party,54393
ANOOP SANDA,Samajwadi Party,53238
RAM DULAR PATHAK,Sarv Sambhaav Party,1859
ASHUTOSH PANDEY,Communist Party of India,1201
LALJI SRIVASTAVA,Pragatisheel Manav Samaj Party,1071
UMESH SHUKLA,Independent,982
ANUJ KUMAR,Rashtriya Janadhar  Party,962
BASANT LAL,Rashtriya Lok Dal,689
SATISH SINGH,Independent,477
POONAM,Bahujan Mukti Party,474
ABDUL MABOOD IDARISI,Apna Desh Party,460
DARSHAN,Independent,436
RAKESH KUMAR,Most Backward Classes Of India,329
DEEPSHIKHA,Satya Shikhar Party,267
None of the Above,None of the Above,1234
