Candidate,Party,Votes
DEVENDRA,Bharatiya Janata Party,125854
DILNAWAZ KHAN,Bahujan Samaj Party,54224
THAKUR SUNIL SINGH,Rashtriya Lok Dal,22420
MOHD ARIF SAEED,Indian National Congress,20611
JAGVIR SINGH,Communist Party of India  (Marxist),1645
RAJKUMAR,Shivsena,1208
ROOP BASANT,Independent,1162
UMESH SHANKAR SARJAN,Rajlok Party,886
DINESH,Independent,828
PRADEEP SIROHI,Rashtriya Kisan Majdoor Party,682
ROHTASH,Independent,636
NEMPAL SINGH,Sabka Dal United,558
PAVITRA PAL,Rashtriya Kranti Party,324
None of the Above,None of the Above,1392
