Candidate,Party,Votes
AJAY KUMAR LALLU,Indian National Congress,61211
JAGADISH MISHRA  ALIAS  BALTI BABA,Bharatiya Janata Party,43097
BIJAY RAI,Bahujan Samaj Party,41685
DR.P.K.RAI,Nirbal Indian Shoshit Hamara Aam Dal,29759
NANDKISHOR MISHRA,Independent,23423
SHRIKANT MISHRA,Independent,3210
VISHNU PRABHAKAR,Independent,2858
RANJAN RAI NIRALA,Bhartiya Sarvodaya Party,1891
MUNIR AHAMAD,Nationalist Congress Party,1094
CHANDAN SINGH,Independent,945
VINOD KUMAR BHARTI,Bahujan Mukti Party,674
SUBHASH,Lok Dal,661
NURUL HODA,Rashtriya Janadhar  Party,604
SWAMINATH,Rashtriya Lok Dal,492
KESHAV PAL,Poorvanchal People's Party,379
None of the Above,None of the Above,3305
