Candidate,Party,Votes
ROSHAN LAL VERMA,Bharatiya Janata Party,81770
KUNWAR JITIN PRASADA,Indian National Congress,76065
AVADHESH KUMAR VERMA,Bahujan Samaj Party,31418
PRADIP KUMAR,Rashtriya Lok Dal,3983
RAGNI SINGH,Independent,1733
RAJESH YADAV,Sarv Sambhaav Party,1253
ANISH KUMAR SINGH,Bhartiya Imaandar Party,1225
PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,1178
RAKESH KUMAR,Independent,968
RAMESH PAL SINGH YADAV,Independent,946
SUKHVEER SINGH,Lok Dal,545
ARUNA DEVI,Independent,530
HARISH CHANDRA,Bharatiya Subhash Sena,521
SHIVAM SHARMA,Shivsena,431
None of the Above,None of the Above,1683
