Candidate,Party,Votes
BRAJESH KUMAR PRAJAPATI,Bharatiya Janata Party,82197
JAGDISH PRASAD PRAJAPATI,Bahujan Samaj Party,44790
DALJEET SINGH,Indian National Congress,42089
RAMKARAN SINGH BACHCHAN,Lok Dal,4688
SHYAM BABU,Communist Party of India,3304
YOGENDRA SINGH,Independent,1035
SURESH KUMAR NISHAD,Bahujan Mukti Party,1034
SHIVVILAS SINGH,Independent,1000
ACHCHHE LAL,Jan Adhikar Party,823
BABITA DEVI,Ambedkar Samaj Party,537
DILEEP KUMAR,Krantikari Yuva Party,451
None of the Above,None of the Above,2875
