Candidate,Party,Votes
KAILASH SINGH RAJPUT,Bharatiya Janata Party,100426
VIJAY BAHADUR PAL,Samajwadi Party,76217
VIJAY SINGH,Bahujan Samaj Party,32036
SUDHIR KUMAR,Independent,928
ADIM ALI SHAH,Voters Party  International,607
VINAY KUMAR,Independent,574
RAJU KHAN,Sanyukt Vikas Party,438
KARAN SINGH,Bharatiya Subhash Sena,434
RAHUL,Jan Adhikar Manch,429
REETA,Independent,342
MOHD. NAYYAR KHAN,Independent,319
RAGHUVIR SINGH,Independent,216
PAWAN KUMAR BHANU,Independent,181
None of the Above,None of the Above,1872
