Candidate,Party,Votes
KAILASH NATH SHUKLA,Bharatiya Janata Party,62296
ZEBA RIZWAN,Indian National Congress,43637
ABDUL MASHHOOD KHAN MASOOD,Samajwadi Party,36549
KRISHN KUMAR URF DR. K. K. SACHAN,Bahujan Samaj Party,23273
RAJESHWAR MISHRA,Independent,16947
MAHBUB AALAM,Lok Dal,2047
RENU,Independent,1796
VINEETA YADAV,Rashtriya Lok Dal,1685
SANTOSH KUMAR,Independent,1268
AATMARAM,Bharatiya Subhash Sena,1087
SOHAIL AHMAD,Independent,1061
VIJAI PRATAP,Independent,1004
ABDUL RAHMAN,Independent,821
ARMAN,Peace Party,794
PARVEJ KHAN,Independent,755
None of the Above,None of the Above,2459
