Candidate,Party,Votes
MANOJ KUMAR PANDEY,Samajwadi Party,59103
UTKRIST MAURYA,Bharatiya Janata Party,57169
VIVEK VIKRAM SINGH,Bahujan Samaj Party,45356
AJAI PAL SINGH,Indian National Congress,34274
MO.JUNAID,Bahujan Mukti Party,2000
MANJU PAL,Independent,1587
RADHESHYAM,Rashtriya Lok Dal,1295
RAM PAL,Independent,1282
SUDHIR KUMAR,Jan Adhikar Party,697
MAHENDRA SINGH,Rashtriya Janadhikar Party,674
AMAR NATH,Independent,587
VIJAY KUMAR,Manavtawadi Samaj Party,547
None of the Above,None of the Above,2517
