Candidate,Party,Votes
PANKAJ GUPTA,Bharatiya Janata Party,119669
MANISHA DEEPAK,Samajwadi Party,73597
PANKAJ TRIPATHI,Bahujan Samaj Party,26739
SURESH KUMAR PAL,Independent,4888
MUNNILAL,Independent,1082
NEERAJ,RASHTRIYA VIKLANG PARTY,761
RAM PRASAD,Shivsena,662
BIMLESH,Independent,568
MOHAMMAD AHAMAD,Indian Union Muslim League,411
SHYAMAL SINGH,Bharatiya Subhash Sena,326
ASHUTOSH,Independent,314
PADMA DEVI,Independent,308
BALKRISHNA,Bhartiya Shakti Chetna Party,289
None of the Above,None of the Above,1843
