Candidate,Party,Votes
RAM PRATAP ALIAS SHASHIKANT VERMA,Bharatiya Janata Party,85240
ARIF ANWAR HASHMI,Samajwadi Party,56066
PARVEZ AHMAD ALIAS PARVEZ UMAR,Bahujan Samaj Party,44799
MOHAMMAD NIZAMULLAH KHAN,All India Majlis-E-Ittehadul Muslimeen,2966
DHARMENDRA,Peace Party,1680
RAM KHILAVAN,Independent,1542
HEERA LAL,Independent,863
RAJESHWARI PRASAD,Independent,792
AFIROJ,Independent,790
PERCY GARDEN DAS,Independent,539
RISHI KUMAR,Independent,510
NAND LAL,Bharatiya Subhash Sena,439
GYAN CHAND VERMA,Yuva Vikas Party,323
None of the Above,None of the Above,1977
