Candidate,Party,Votes
SAURABH SRIVASTAVA,Bharatiya Janata Party,132609
ANIL SRIVASTAVA,Indian National Congress,71283
RIJWAN AHMAD,Bahujan Samaj Party,14118
AJOY MUKHERJEE,Communist Party of India,1515
DHURANDHAR SINGH,Independent,991
AJAY KUMAR SINGH,Samajwadi Janata Party (ChandraShekhar),765
"VINOD KUMAR NISHAD ""GURU""",Nirbal Indian Shoshit Hamara Aam Dal,631
MRITYUNJAI VERMA,Nationalist Congress Party,601
RAM PRAKASH OJHA,Independent,555
GANESH SHANKAR CHATURVEDI,Independent,469
BHUVANESHWAR DWIVEDI URF BABA,Independent,424
CHANDAN URF RAM RENU CHANDAN ADVOCATE,Moulik Adhikar Party,381
SANJAY BAJAJ,Nav Jankranti Party,288
SHANKAR PRASAD,Rashtriya Samajwadi Jankranti Party,279
SUNIL KUMAR SHUKLA,Independent,263
SURAJ,Bharat Kalyan Party,254
PARVEZ QUADIR KHAN,Ittehad-E-Millait Council,252
PANNA LAL YADAV,Independent,239
SATISH KUMAR,Samta Samjwadi Congress Party,216
SHATRUGHAN,Adarshwaadi Congress Party,195
SUNIL KUMAR MAURYA,Independent,160
MUHAMMAD AKRAM,Independent,137
MAHESH CHANDRA SHARMA,Independent,111
VIJAY SHANKAR PANDEY,Independent,106
None of the Above,None of the Above,758
