Candidate,Party,Votes
RAVINDRA JAISWAL,Bharatiya Janata Party,116017
ABDUL SAMAD ANSARI,Indian National Congress,70515
SUJEET KUMAR MAURYA,Bahujan Samaj Party,32574
SUJEET SINGH TEEKA,Independent,1957
DR. ASHOK KUMAR SINGH,Independent,1075
SUVRAT KOSHIK,Independent,778
VIBYA KUMAR ALIAS DIVYA KUMAR GUPTA,Rashtriya Lok Dal,768
VINOD KUMAR YADAV,Nav Jankranti Party,490
AMAAN AKHTAR,Communist Party of India  (Marxist-Leninist)  (Liberation),407
VISHAL MISHRA,Samajwadi Janata Party (ChandraShekhar),385
VINOD KUMAR AGRAHARI,Rashtriya Bahujan Congress Party,370
RAJENDRA KUMAR GUPT,Rashtriya Vikas Manch Party,277
KUNDAN PANDEY,Manavadhikar Janshakti Party,267
KIRAN,Bharti Samudaya Party,220
NARENDRA NATH DUBEY ADIG,Bharat Kalyan Party,185
NARENDRA BAHADUR SINGH,Manav Kalyan Munch,178
ASHUTOSH SINGH,Nirmal India Party,117
None of the Above,None of the Above,1115
