Candidate,Party,Votes
DR. NEELKANTH TIWARI,Bharatiya Janata Party,92560
RAJESH MISHRA,Indian National Congress,75334
RAKESH TRIPATHI,Bahujan Samaj Party,5922
SATISH KUMAR AGRAHARI,Independent,844
RUBI FATMA,Independent,799
SHIVNATH YADAV,Communist Party of India  (Marxist),740
MU. MUSA ANSARI,Independent,464
RITIKA RANI,Rashtriya Krantikari Samajwadi Party,319
HAJI HARIS MAOUZ RAJBEE,Peace Party,259
ROYAL AJEET SINGH,Independent,225
VIMLESH KUMAR SHARMA,Moulik Adhikar Party,196
PARVEZ QUADIR KHAN,Independent,188
ABHISHEK KUMAR SINGH,Jan Adhikar Party,127
KISHAN SETH,Independent,120
PRIYA AGRAWAL,Manavadhikar Janshakti Party,106
NARENDRA NATH DUBEY ADIG,Bharat Kalyan Party,91
IMRAN,VANCHITSAMAJ INSAAF PARTY,86
None of the Above,None of the Above,457
