Candidate,Party,Votes
RAKESH KUMAR VERMA ALIAS DR.R.K.VERMA,Apna Dal (Soneylal),81899
SANJAY PANDEY,Indian National Congress,58541
PREMANAND TRIPATHI,Bahujan Samaj Party,33878
RAKESH KUMAR,Independent,5830
UPENDRA NARAYAN,Communist Party of India,2627
SUSHIL KUMAR,Rashtriya Janta Party,2053
RAJENDRA KUMAR DUBEY,Lok Gathbandhan Party,1632
RAM LAKHAN CHATURVEDI,Independent,1616
ABDUL LATIF,VANCHITSAMAJ INSAAF PARTY,1591
NANDLAL YADAV,Bahujan Mukti Party,1238
INDRAJEET,Independent,1156
ANIL KUMAR,Independent,984
RAKESH KUMAR,Rashtriya Lok Dal,873
RAJKUMAR,Nationalist Congress Party,754
None of the Above,None of the Above,1951
