Candidate,Party,Votes
DR HARENDRA PRASAD SINGH,Bharatiya Janata Party,85989
SHACHINDRA NATH TRIPATHI,Samajwadi Party,61124
SANJIV KUAMR UPADHYAY,Bahujan Samaj Party,45490
JAI PRAKASH,Communist Party of India,2845
MOTILAL BIND,Rashtriya Lok Dal,1351
GHAN SHYAM DUBEY,Lok Dal,1342
PRADEEP NISHAD,Independent,1268
DEEPAK YADAV ALIAS PAPPU,Independent,1158
ANAND GOPAL MISHRA,National Youth Party,1015
RAMLAKHAN CHAUHAN,Independent,932
RAJENDR,Independent,871
YOGISH CHANDRA DUBEY,Independent,763
CHHOTELAL,Mahakranti Dal,471
PRADEEP,Bahujan Mukti Party,364
MANOJ,Samajwadi Janata Party (ChandraShekhar),270
None of the Above,None of the Above,1198
