Candidate,Party,Votes
OM PRAKASH RAJBHAR,Suheldev Bhartiya Samaj Party,86583
KALICHARAN,Bahujan Samaj Party,68502
MAHENDRA,Samajwadi Party,64574
KANHAIYA,Nirbal Indian Shoshit Hamara Aam Dal,2681
SHAMEEM,Communist Party of India,1339
SUBHASH,Rashtriya Lok Dal,940
VIJAY URF RANA VIJAY RAJBHAR,Independent,679
ANAND BIHARI RAI,Independent,677
RAM AUTAR,Independent,625
RAMESH,Independent,515
JAI RAM PANDEY,All India Forward Bloc,440
RAM SARAN,Independent,439
DIVAKAR TIWARI,Poorvanchal People's Party,418
PRAKASH SINGH YADAV,Janta Raj Party,305
RAJESH KUMAR CHAUHAN,Naitik Party,303
None of the Above,None of the Above,1500
